instrument,fa_lo,fa_hi,n_all,n_assoc,sum_prob,exposure_s
SVOM/GRM,1.312167e-31,4.254330e-31,1,1,0.006490,12114207.0
SVOM/GRM,4.254330e-31,1.379346e-30,1,1,0.006313,12114207.0
SVOM/GRM,1.379346e-30,4.472136e-30,2,0,0.013540,12114207.0
SVOM/GRM,4.472136e-30,1.449963e-29,2,2,0.016540,12114207.0
SVOM/GRM,1.449963e-29,4.701093e-29,1,1,0.004887,12114207.0
SVOM/GRM,4.701093e-29,1.524196e-28,1,1,0.002640,12114207.0
SVOM/GRM,1.524196e-28,4.941772e-28,1,1,0.003549,12114207.0
SVOM/GRM,4.941772e-28,1.602229e-27,0,0,0.000000,12114207.0
SVOM/GRM,1.602229e-27,5.194772e-27,3,1,0.004720,12114207.0
SVOM/GRM,5.194772e-27,1.684257e-26,1,0,0.016076,12114207.0
SVOM/GRM,1.684257e-26,5.460725e-26,0,0,0.000000,12114207.0
SVOM/GRM,5.460725e-26,1.770485e-25,0,0,0.000000,12114207.0
SVOM/GRM,1.770485e-25,5.740294e-25,2,1,0.004456,12114207.0
SVOM/GRM,5.740294e-25,1.861127e-24,1,0,0.000574,12114207.0
SVOM/GRM,1.861127e-24,6.034176e-24,1,1,0.001230,12114207.0
SVOM/GRM,6.034176e-24,1.956410e-23,0,0,0.000000,12114207.0
SVOM/GRM,1.956410e-23,6.343104e-23,1,0,0.022767,12114207.0
SVOM/GRM,6.343104e-23,2.056571e-22,3,0,0.024249,12114207.0
SVOM/GRM,2.056571e-22,6.667848e-22,3,2,0.014831,12114207.0
SVOM/GRM,6.667848e-22,2.161860e-21,3,2,0.030285,12114207.0
SVOM/GRM,2.161860e-21,7.009217e-21,3,2,0.004757,12114207.0
SVOM/GRM,7.009217e-21,2.272539e-20,0,0,0.000000,12114207.0
SVOM/GRM,2.272539e-20,7.368063e-20,3,3,0.006690,12114207.0
SVOM/GRM,7.368063e-20,2.388885e-19,4,0,0.007050,12114207.0
SVOM/GRM,2.388885e-19,7.745281e-19,2,1,0.005527,12114207.0
SVOM/GRM,7.745281e-19,2.511187e-18,5,2,0.033794,12114207.0
SVOM/GRM,2.511187e-18,8.141811e-18,2,0,0.013940,12114207.0
SVOM/GRM,8.141811e-18,2.639751e-17,4,1,0.027181,12114207.0
SVOM/GRM,2.639751e-17,8.558641e-17,1,0,0.000082,12114207.0
SVOM/GRM,8.558641e-17,2.774896e-16,6,2,0.029197,12114207.0
SVOM/GRM,2.774896e-16,8.996812e-16,1,0,0.000902,12114207.0
SVOM/GRM,8.996812e-16,2.916961e-15,6,1,0.022786,12114207.0
SVOM/GRM,2.916961e-15,9.457416e-15,8,3,0.042670,12114207.0
SVOM/GRM,9.457416e-15,3.066298e-14,6,3,0.010761,12114207.0
SVOM/GRM,3.066298e-14,9.941601e-14,3,1,0.018232,12114207.0
SVOM/GRM,9.941601e-14,3.223282e-13,8,4,0.018762,12114207.0
SVOM/GRM,3.223282e-13,1.045057e-12,4,1,0.009437,12114207.0
SVOM/GRM,1.045057e-12,3.388302e-12,9,3,0.032531,12114207.0
SVOM/GRM,3.388302e-12,1.098561e-11,6,4,0.025512,12114207.0
SVOM/GRM,1.098561e-11,3.561770e-11,7,1,0.018675,12114207.0
SVOM/GRM,3.561770e-11,1.154803e-10,8,3,0.036193,12114207.0
SVOM/GRM,1.154803e-10,3.744120e-10,8,3,0.028449,12114207.0
SVOM/GRM,3.744120e-10,1.213924e-09,4,1,0.037697,12114207.0
SVOM/GRM,1.213924e-09,3.935805e-09,8,5,0.049764,12114207.0
SVOM/GRM,3.935805e-09,1.276073e-08,4,3,0.013593,12114207.0
