start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2025-08-19T19:36:31.939603,3.9448784613718574e-06,117.4976776157872,11.09688475985487,0.939604,14,0.5960,90,33,2.742,0.0000,0.0083,0.500,4508,3
2025-08-28T15:16:33.224584,1.1309636101152153e-06,113.7237054095769,13.274028187188176,0.224585,17,0.7360,66,33,2.000,0.0588,0.0082,0.412,4368,3
2025-08-31T05:46:43.758395,2.2020464129284644e-23,115.13400530787388,16.84134939180318,0.758395,30,1.1680,56,36,1.569,0.0000,0.0121,0.533,3388,3
2025-09-06T20:26:34.564056,1.2735824535407056e-14,-79.03986905209136,28.063183304270936,0.564057,26,0.8730,65,34,1.912,0.0000,0.0087,0.385,3785,3
2025-09-09T19:34:29.719316,7.478747219717584e-23,-79.28078325635518,26.74240464143731,0.719316,28,0.8590,79,36,2.194,0.0000,0.0083,0.429,3313,3
2025-09-16T19:55:36.195810,8.480606791977133e-06,-70.966423809759,-0.02370392698577411,0.195810,19,1.3560,42,35,1.200,0.0000,0.0101,0.421,3228,3
2025-10-04T18:57:11.936612,2.0207594066003923e-15,86.60360602055346,29.069747527266884,0.936612,29,1.2440,69,36,1.917,0.0000,0.0070,0.345,4816,3
2025-10-10T19:09:39.334596,7.24271475292715e-08,130.0191806169432,-2.448887251533511,0.334597,22,1.1480,79,33,2.394,0.0000,0.0114,0.409,3725,3
2025-10-14T06:17:16.986746,8.470243704250392e-21,102.03355894439456,-6.288139533139975,0.986746,31,0.9210,58,32,1.812,0.0323,0.0096,0.452,3334,3
2025-10-28T18:24:54.669937,1.1172723502473893e-06,-13.424760367144929,10.33549907078711,0.669937,19,1.0120,68,30,2.267,0.0000,0.0090,0.368,3708,3
2025-11-07T14:32:08.221560,9.178177773102165e-08,22.310647894605747,-15.674258717767753,0.221560,18,0.5550,79,30,2.650,0.0000,0.0053,0.556,5318,3
2025-11-23T22:55:08.264451,4.746119664554893e-10,101.68383667384006,2.962756169482899,0.264452,27,1.7910,43,35,1.229,0.0000,0.0116,0.444,3141,3
2025-12-04T13:26:29.544318,9.681925645073806e-12,4.924943430482226,7.23062618517025,0.544318,28,1.2940,66,40,1.663,0.0000,0.0049,0.357,5252,3
2025-12-11T12:35:55.236656,5.313411030362237e-12,140.33971076083006,-3.7572304104778023,0.236656,22,0.8300,52,32,1.641,0.0000,0.0081,0.409,4276,3
2025-12-23T07:12:16.272213,2.4718067957674055e-14,120.59111955696208,4.398787112353501,0.272214,24,1.5600,67,36,1.875,0.0000,0.0086,0.542,3604,3
2025-12-31T12:26:48.926584,9.887619242369934e-24,17.052612831772972,-14.27263674959577,0.926584,36,0.8990,83,31,2.677,0.0000,0.0064,0.444,4844,3
2026-01-13T03:18:38.600364,8.539970979943834e-06,-116.47505897644362,14.990785837193997,0.600365,17,0.3670,94,28,3.357,0.0000,0.0055,0.412,4425,3
2026-02-01T21:51:06.319832,3.75299672417662e-15,117.79391702187723,-17.533879668375832,0.319833,28,1.5790,85,29,2.931,0.0000,0.0080,0.357,3676,3
2026-02-07T09:49:01.724290,5.212604646984768e-29,145.92120435561392,-16.976111449051363,0.724290,33,0.7020,89,34,2.618,0.0000,0.0077,0.424,3776,3
2026-02-14T00:41:38.252165,9.44146993693285e-06,12.927611857791195,-4.587125315030491,0.252166,14,0.3320,90,40,2.250,0.0000,0.0051,0.643,5417,3
2026-02-25T09:06:41.545087,1.4412628900193751e-24,42.423216143222525,-23.227231673447463,0.545088,34,1.0180,77,34,2.279,0.0000,0.0103,0.441,3407,3
2026-02-25T09:36:32.823723,5.3735664325374205e-09,151.2113178585715,-7.267999103882381,0.823724,20,0.8900,50,32,1.578,0.0000,0.0106,0.500,2970,3
2026-03-03T22:21:14.248623,5.012516580124377e-31,-70.02316864438905,2.448697178430458,0.248623,37,1.2260,61,36,1.694,0.0000,0.0075,0.432,3250,3
2026-03-19T18:47:05.234597,4.938920245197064e-19,70.17487915014874,-14.11583401425404,0.234597,28,1.3510,64,31,2.081,0.0000,0.0103,0.393,3348,3
2026-03-27T12:23:38.503991,1.3332756961150374e-43,88.5640979300627,-3.241765683360269,0.503991,44,1.5980,53,33,1.621,0.0000,0.0099,0.386,3042,3
2026-03-31T08:21:15.514190,2.618531396234145e-24,104.00812435218803,6.248859033471116,0.514190,33,1.4150,59,35,1.686,0.0000,0.0089,0.455,3273,3
2026-04-08T04:17:07.384204,8.221488319312146e-07,-114.67645020690075,-24.228012148798573,0.384205,17,1.0400,83,31,2.677,0.0000,0.0074,0.471,4064,3
