date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg
20171122,2017-11-22T10:13:26.368507981Z,2017-11-22T10:13:26.368719995Z,0.000212014,12,6.571809973078899e-1,97.9753,6.0685,541629.0,lightning,1,1.3122593475944594e-3,7,14,3,3,14327,1027
20171124,2017-11-24T06:01:10.121647983Z,2017-11-24T06:01:10.122794002Z,0.001146019,23,5.605052602543034e-4,343.2546,6.9847,541349.4,lightning,1,1.065844365215966e-3,3,55,1,0,37870,1363
20171206,2017-12-06T01:42:57.029801994Z,2017-12-06T01:42:57.030766010Z,0.000964016,20,1.4724655728401825e-3,146.5199,-2.4792,547303.4,lightning,1,2.871570068027211e-3,7,31,1,0,18048,1515
20171210,2017-12-10T10:28:21.157483994Z,2017-12-10T10:28:21.157909989Z,0.000425995,11,3.1135215420571666e-1,321.2441,20.1755,545162.7,lightning,1,3.0479866322432585e-3,9,19,4,0,13472,2392
20171212,2017-12-12T01:42:44.427149981Z,2017-12-12T01:42:44.427319973Z,0.000169992,13,2.1900396384809576e-2,313.9871,24.3609,536696.4,lightning,1,1.0415087869846736e-2,7,14,1,0,16215,2259
20171215,2017-12-15T01:50:23.583385974Z,2017-12-15T01:50:23.583773970Z,0.000387996,15,6.141837953080949e-4,78.8209,4.6415,544524.7,lightning,1,8.196049504139005e-5,9,19,2,1,13439,2072
20171220,2017-12-20T21:49:37.976031959Z,2017-12-20T21:49:37.976241976Z,0.000210017,12,8.789771377401459e-3,120.2815,-12.8051,546225.8,lightning,1,1.5846711990820425e-3,22,13,4,3,10934,1036
20171227,2017-12-27T20:52:36.822065979Z,2017-12-27T20:52:36.822683960Z,0.000617981,27,1.2701392210470471e-2,120.6570,-33.6271,552129.8,lightning,1,1.230000262273584e-3,32,28,4,3,19645,2339
20180101,2018-01-01T16:47:36.227847993Z,2018-01-01T16:47:36.228244006Z,0.000396013,15,7.872985907851449e-1,126.8150,-18.8054,541919.8,lightning,1,1.214393719367265e-2,10,21,3,2,17246,1753
20180103,2018-01-03T19:37:38.004696011Z,2018-01-03T19:37:38.005001991Z,0.000305980,21,3.626682181647995e-4,65.3668,-14.5328,539332.7,lightning,1,4.921953446438816e-4,7,21,3,1,14365,1857
20180104,2018-01-04T03:27:09.668099969Z,2018-01-04T03:27:09.669079989Z,0.000980020,22,5.5732936171810105e-5,285.3127,4.2360,535564.2,lightning,1,7.02869255798705e-3,3,28,6,3,14163,2076
20180122,2018-01-22T17:14:10.568481981Z,2018-01-22T17:14:10.568583995Z,0.000102014,10,7.832356911837361e-2,128.4610,-13.2335,540604.5,lightning,1,2.3795296451110566e-3,12,12,4,1,13989,2424
20180127,2018-01-27T14:46:07.397661983Z,2018-01-27T14:46:07.397731989Z,0.000070006,12,1.6310867398065191e-3,117.5487,-25.6423,541946.4,lightning,1,2.976735570854848e-3,9,13,2,1,18956,2919
20180201,2018-02-01T16:26:33.910363972Z,2018-02-01T16:26:33.910425961Z,0.000061989,11,6.937772224448735e-1,255.1287,13.9075,546530.9,lightning,1,7.280527497746087e-3,4,11,1,0,18006,2114
20180205,2018-02-05T20:48:36.491883993Z,2018-02-05T20:48:36.491983979Z,0.000099986,14,2.985211245986073e-3,202.5653,-21.3988,551477.8,lightning,1,9.129319563970168e-4,4,14,2,2,15319,1787
20180208,2018-02-08T16:03:11.695161968Z,2018-02-08T16:03:11.695545971Z,0.000384003,19,1.1825839364738631e-1,21.5698,-24.8248,545172.3,lightning,1,2.868617326448652e-3,3,26,0,0,26502,2841
20180210,2018-02-10T17:29:07.019786Z,2018-02-10T17:29:07.020336002Z,0.000550002,14,3.820248612967135e-1,15.1288,-1.1122,537522.5,lightning,1,4.100090328661585e-3,5,25,4,0,19247,3482
20180211,2018-02-11T18:57:57.464019984Z,2018-02-11T18:57:57.464339971Z,0.000319987,15,8.120227398343708e-3,354.3331,6.6096,536601.4,lightning,1,4.917629702483403e-4,1,24,0,0,33794,2799
20180213,2018-02-13T07:26:13.513817995Z,2018-02-13T07:26:13.514725983Z,0.000907988,14,1.1995173762368649e-4,143.1451,-6.7068,540592.8,lightning,1,1.310766265060241e-3,8,27,2,0,13455,2505
20180218,2018-02-18T01:11:25.311129987Z,2018-02-18T01:11:25.311259984Z,0.000129997,12,2.1651242168435544e-2,44.6488,-10.3786,544256.2,lightning,1,2.4588148512417015e-4,6,13,2,0,14264,970
20180219,2018-02-19T04:07:35.786761969Z,2018-02-19T04:07:35.786825984Z,0.000064015,9,3.4806197158160385e-2,339.3109,2.6087,539823.2,lightning,1,7.376444553725104e-4,10,10,0,0,13632,977
20180220,2018-02-20T03:02:33.005335986Z,2018-02-20T03:02:33.005733996Z,0.000398010,14,2.062008602837229e-1,146.1754,-22.3620,550590.7,lightning,1,1.156453206294566e-2,10,19,1,0,17033,1935
20180224,2018-02-24T12:06:53.365421980Z,2018-02-24T12:06:53.366031974Z,0.000609994,17,9.568001625641378e-4,11.3594,3.3449,544253.8,lightning,1,4.0980247520695025e-4,7,26,0,0,19615,1294
20180227,2018-02-27T15:36:03.721245974Z,2018-02-27T15:36:03.721331983Z,0.000086009,12,5.631110801256505e-1,117.0697,-1.7949,536821.4,lightning,1,2.0566081222850585e-3,5,12,0,0,16908,1565
20180303,2018-03-03T18:50:32.269701987Z,2018-03-03T18:50:32.270235985Z,0.000533998,11,5.530308787433655e-2,205.2337,-13.2702,549383.7,lightning,1,2.6158853864437343e-3,16,21,3,1,14376,2157
20180306,2018-03-06T06:42:08.381637990Z,2018-03-06T06:42:08.381689995Z,0.000052005,12,5.600015692142003e-4,236.2377,-25.4418,542302.0,lightning,1,4.0980247520695025e-4,5,12,1,0,15680,2362
20180310,2018-03-10T10:40:15.747605979Z,2018-03-10T10:40:15.748141974Z,0.000535995,19,1.2861348803544243e-3,120.4430,-1.0711,536911.5,lightning,1,3.116431120399967e-3,7,23,1,0,17179,1676
20180312,2018-03-12T08:41:22.702637970Z,2018-03-12T08:41:22.702727973Z,0.000090003,10,2.1024090281016153e-1,125.3217,10.4185,538476.9,lightning,1,4.917635193836571e-4,6,12,0,0,15863,807
20180316,2018-03-16T22:21:07.348419994Z,2018-03-16T22:21:07.348839998Z,0.000420004,15,4.6648817755091816e-5,249.7164,11.4087,541321.3,lightning,1,5.743518482091631e-4,5,20,4,0,17511,1823
20180318,2018-03-18T12:38:30.821025967Z,2018-03-18T12:38:30.821179986Z,0.000154019,12,1.2015674161279336e-1,49.2526,-10.8468,541085.0,lightning,1,1.63952430128678e-4,9,13,1,1,14175,2051
20180320,2018-03-20T17:47:26.752459973Z,2018-03-20T17:47:26.753743976Z,0.001284003,18,2.89008961534502e-4,121.6908,-3.9568,540097.3,lightning,1,1.968362380132776e-3,4,31,7,2,14039,2221
20180323,2018-03-23T10:16:48.870723962Z,2018-03-23T10:16:48.871037960Z,0.000313998,12,2.905039860257135e-4,56.9796,-14.3154,544424.9,lightning,1,8.196049504139005e-5,13,17,0,0,14824,741
20180323,2018-03-23T17:19:41.233617991Z,2018-03-23T17:19:41.234649986Z,0.001031995,10,3.113959606863153e-4,111.7708,-1.6999,538357.6,lightning,1,3.5281917301860505e-3,4,31,4,3,16769,2192
20180323,2018-03-23T18:59:47.596253991Z,2018-03-23T18:59:47.597493976Z,0.001239985,23,2.837787828415523e-5,99.5315,10.5253,539190.1,lightning,1,6.557268748463241e-4,2,39,9,4,22555,2528
20180324,2018-03-24T01:20:48.721409976Z,2018-03-24T01:20:48.722111970Z,0.000701994,18,4.576326821252365e-3,1.3192,9.4136,538808.7,lightning,1,2.377946406032293e-3,4,33,0,0,28719,1140
20180403,2018-04-03T05:52:52.815069973Z,2018-04-03T05:52:52.815377980Z,0.000308007,17,1.955134971679541e-4,186.8497,-25.3813,543223.3,lightning,1,8.556259413162855e-3,11,18,3,0,16757,1850
20180411,2018-04-11T19:57:30.381595999Z,2018-04-11T19:57:30.382019996Z,0.000423997,19,1.2977199109659417e-3,144.4574,-12.7094,547890.7,lightning,1,1.4034892058028031e-3,3,22,0,0,19608,1362
20180414,2018-04-14T21:48:24.926807969Z,2018-04-14T21:48:24.926829963Z,0.000021994,8,5.252465681633138e-1,266.8834,3.7126,539264.8,lightning,1,2.469162281780182e-4,4,8,4,3,15521,2559
20180415,2018-04-15T09:37:56.624861985Z,2018-04-15T09:37:56.626029968Z,0.001167983,20,1.2606341572939155e-4,250.7014,10.7282,539958.0,lightning,1,9.046773461191704e-4,4,36,5,2,18575,1825
20180423,2018-04-23T05:12:45.554607987Z,2018-04-23T05:12:45.554921984Z,0.000313997,13,4.975324440880703e-3,272.3186,5.4039,536373.0,lightning,1,9.046894139824605e-3,11,17,0,0,15672,1853
20180425,2018-04-25T18:30:25.862689971Z,2018-04-25T18:30:25.862861961Z,0.000171990,11,1.464879783878462e-1,253.5674,10.5070,544655.0,lightning,1,9.021969674616834e-4,22,14,3,1,15243,1974
20180427,2018-04-27T03:45:19.038255989Z,2018-04-27T03:45:19.038785994Z,0.000530005,21,1.019553156879621e-3,84.4319,-9.3075,548401.9,lightning,1,1.639209900827801e-4,1,26,2,2,23798,2499
20180502,2018-05-02T21:35:41.186057984Z,2018-05-02T21:35:41.186302006Z,0.000244022,21,4.957232763700363e-2,30.9911,-39.4349,549094.4,lightning,1,8.196049504139005e-4,5,24,2,1,33690,3541
20180504,2018-05-04T02:43:13.427245974Z,2018-05-04T02:43:13.427319973Z,0.000073999,13,7.075213289416868e-2,68.7752,3.5116,546536.7,lightning,1,2.132259478731252e-3,4,13,0,0,20828,1344
20180506,2018-05-06T09:31:46.749311983Z,2018-05-06T09:31:46.749779969Z,0.000467986,12,7.595329016495213e-2,128.0244,0.0862,536297.2,lightning,1,4.943601508073109e-4,15,19,3,0,13409,1263
20180507,2018-05-07T21:18:49.080567985Z,2018-05-07T21:18:49.081072002Z,0.000504017,12,1.9761071319311316e-5,125.5101,3.5542,545588.5,lightning,1,8.202587492828457e-4,9,20,2,0,14003,1848
20180513,2018-05-13T09:14:30.406663984Z,2018-05-13T09:14:30.406797975Z,0.000133991,13,3.669112623004713e-2,273.1248,5.4962,542903.6,lightning,1,4.522008171461356e-3,6,14,0,0,16437,1172
20180513,2018-05-13T18:41:52.019158005Z,2018-05-13T18:41:52.019194006Z,0.000036001,8,7.55368549570554e-1,115.4198,-6.9204,542277.6,lightning,1,3.28075421686747e-3,6,8,1,1,10501,2129
20180514,2018-05-14T12:07:03.359715998Z,2018-05-14T12:07:03.359857976Z,0.000141978,11,7.525250958101776e-4,198.5253,-16.4397,542683.3,lightning,1,3.540246184738956e-3,26,12,4,0,10760,1421
20180515,2018-05-15T06:29:59.192676007Z,2018-05-15T06:29:59.193028002Z,0.000351995,13,1.019411171504448e-2,115.6595,0.4841,541062.1,lightning,1,3.1151573641504796e-3,5,19,0,0,17069,1654
20180517,2018-05-17T20:24:39.717929989Z,2018-05-17T20:24:39.718119978Z,0.000189989,11,1.8900400313572297e-3,238.0440,11.7249,543847.2,lightning,1,4.919449799196787e-4,7,15,2,0,17924,1576
20180518,2018-05-18T17:04:39.575861990Z,2018-05-18T17:04:39.576793968Z,0.000931978,15,5.537431837607939e-3,283.3799,10.9288,544050.8,lightning,1,4.111877952626834e-3,6,28,4,1,14579,1711
20180519,2018-05-19T00:20:25.757749974Z,2018-05-19T00:20:25.758137971Z,0.000387997,18,1.7490017901456963e-3,11.0324,6.2244,539247.4,lightning,1,3.278419801655602e-4,2,22,0,0,20861,1100
20180524,2018-05-24T01:46:15.108116Z,2018-05-24T01:46:15.108222007Z,0.000106007,11,9.168061515464312e-1,110.7593,17.3256,546876.5,lightning,1,2.377444906155233e-3,8,12,8,6,14678,919
20180527,2018-05-27T15:38:06.807283967Z,2018-05-27T15:38:06.807477980Z,0.000194013,12,3.441369033221267e-3,246.7986,11.2827,546632.4,lightning,1,6.071455020080321e-3,3,17,1,0,19298,1372
20180531,2018-05-31T03:11:16.545583993Z,2018-05-31T03:11:16.545749992Z,0.000165999,12,1.7253644783271802e-1,249.7592,6.0557,534791.1,lightning,1,1.191815769199246e-3,8,14,1,0,15701,1181
20180605,2018-06-05T07:42:37.044079989Z,2018-06-05T07:42:37.044156014Z,0.000076025,11,1.792714365850966e-2,285.4104,29.1451,542860.7,lightning,1,5.432390238505041e-3,33,12,1,1,16100,2470
20180609,2018-06-09T02:28:04.075405985Z,2018-06-09T02:28:04.075540006Z,0.000134021,10,2.615536577652919e-2,10.4084,5.2750,542385.2,lightning,1,1.0654864355380707e-3,15,11,2,0,10130,2512
20180609,2018-06-09T19:51:07.501441985Z,2018-06-09T19:51:07.501701980Z,0.000259995,14,2.0817540092537473e-1,87.7467,20.0276,540425.0,lightning,1,4.755708884517662e-3,3,17,1,1,16973,1291
