date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20171211,2017-12-11T15:57:07.813259959Z,2017-12-11T15:57:07.813709974Z,0.000450015,20,3.660914476953137e-7,64.0813,-9.3293,538673.8,direct,1,1.639209900827801e-4,0,25,2,1,24886,1755,25,2,1,24886,1755,0.120
20171223,2017-12-23T00:42:07.382581979Z,2017-12-23T00:42:07.383169978Z,0.000587999,14,2.606409484107455e-6,65.4913,-14.5518,545559.6,direct,0,2.4588148512417015e-4,7,23,2,0,14894,2225,23,2,0,14894,2225,0.130
20171225,2017-12-25T00:49:45.984115958Z,2017-12-25T00:49:45.985465973Z,0.001350015,19,1.292672584555464e-8,164.6794,-35.6543,556670.6,direct,0,7.4490334972543235e-3,7,42,5,1,24584,2281,42,5,1,24584,2281,0.119
20171228,2017-12-28T18:55:03.119435995Z,2017-12-28T18:55:03.120918005Z,0.001482010,24,4.824439930329615e-6,103.3412,-4.0975,538859.9,direct,1,4.924926579788542e-3,8,34,0,0,14815,1286,34,0,0,14815,1286,0.118
20171230,2017-12-30T01:45:58.256962001Z,2017-12-30T01:45:58.258125990Z,0.001163989,25,4.959563878314517e-7,147.2341,-18.3373,550708.1,direct,0,4.918684206212606e-4,9,37,3,1,15445,3308,37,3,1,15445,3308,0.135
20171231,2017-12-31T16:47:02.923377960Z,2017-12-31T16:47:02.924941956Z,0.001563996,22,2.2436120563903696e-8,104.8726,6.7688,535943.1,direct,0,2.241518900090157e-3,5,40,1,0,16233,1152,40,1,0,16233,1152,0.125
20180102,2018-01-02T14:53:02.607111990Z,2018-01-02T14:53:02.607571989Z,0.000459999,17,6.018464017587526e-7,121.8621,5.9341,535696.0,direct,1,8.196049504139005e-5,3,26,0,0,18977,1120,26,0,0,18977,1120,0.154
20180105,2018-01-05T09:43:14.710413962Z,2018-01-05T09:43:14.710441976Z,0.000028014,11,7.580722245611315e-6,194.4923,-6.3649,537048.5,direct,0,0e0,7,11,3,2,14171,2461,11,3,2,14171,2461,0.182
20180125,2018-01-25T16:46:03.078336Z,2018-01-25T16:46:03.079582005Z,0.001246005,29,4.378984970259849e-7,117.2754,-12.3193,539144.7,direct,0,4.917629702483403e-4,10,38,8,3,13816,2455,38,8,3,13816,2455,0.158
20180128,2018-01-28T14:39:30.561807990Z,2018-01-28T14:39:30.562623977Z,0.000815987,13,2.1559863593485053e-6,122.0815,-18.9431,539855.8,direct,1,3.614196516678961e-3,16,27,6,1,15657,2761,27,6,1,15657,2761,0.148
20180205,2018-02-05T18:10:08.906195968Z,2018-02-05T18:10:08.907091975Z,0.000896007,23,9.203204129625492e-6,18.4279,-17.6108,540498.4,direct,0,3.0686766494549627e-3,1,31,1,1,19741,1995,31,1,1,19741,1995,0.129
20180212,2018-02-12T12:18:33.096083998Z,2018-02-12T12:18:33.096643984Z,0.000559986,22,2.893343260573589e-8,65.8039,-15.0170,543012.4,direct,1,2.45967355134825e-4,1,29,6,1,29049,2962,29,6,1,29049,2962,0.138
20180214,2018-02-14T22:34:06.685393989Z,2018-02-14T22:34:06.686325967Z,0.000931978,19,4.380505434469691e-8,118.7409,-22.2924,550733.1,direct,1,1.6566422096549462e-3,9,33,1,0,18707,1835,33,1,0,18707,1835,0.121
20180218,2018-02-18T20:19:57.843235969Z,2018-02-18T20:19:57.844543963Z,0.001307994,24,1.6484536209720434e-7,124.7408,-20.6156,548160.1,direct,0,1.559875387263339e-3,10,35,1,0,18159,1020,35,1,0,18159,1020,0.171
20180220,2018-02-20T16:42:48.179473996Z,2018-02-20T16:42:48.180065989Z,0.000591993,18,4.626259763806982e-7,145.6222,-2.0498,540331.5,direct,0,3.8705070977788705e-3,5,28,5,3,21298,1685,28,5,3,21298,1685,0.179
20180221,2018-02-21T16:35:49.921173959Z,2018-02-21T16:35:49.921805977Z,0.000632018,19,5.4176439221934463e-8,148.0343,-8.6134,541704.9,direct,1,1.1622173838209983e-3,4,25,4,3,19910,1936,25,4,3,19910,1936,0.120
20180228,2018-02-28T15:26:49.479363977Z,2018-02-28T15:26:49.480307996Z,0.000944019,21,2.6506413546855795e-8,113.7467,-2.5366,536643.5,direct,0,4.349504704532416e-3,11,30,3,0,16060,1675,30,3,0,16060,1675,0.133
20180228,2018-02-28T15:28:04.169072002Z,2018-02-28T15:28:04.169167995Z,0.000095993,16,7.181398266275135e-6,116.8903,-5.7553,537345.3,direct,0,5.086154847963282e-3,11,16,2,0,16160,1723,16,2,0,16160,1723,0.250
20180303,2018-03-03T03:00:50.127303987Z,2018-03-03T03:00:50.128307998Z,0.001004011,18,1.241621170134772e-6,98.0557,-3.2170,547401.5,direct,1,3.690679272190804e-3,4,32,0,0,20129,840,32,0,0,20129,840,0.125
20180304,2018-03-04T19:40:45.960215985Z,2018-03-04T19:40:45.961067974Z,0.000851989,17,3.349555323195335e-6,40.3171,-17.6080,539377.4,direct,0,7.37727620686829e-4,12,25,2,0,15920,2885,25,2,0,15920,2885,0.120
20180304,2018-03-04T21:21:45.706703990Z,2018-03-04T21:21:45.706989973Z,0.000285983,21,3.3661949790943486e-6,33.3872,-30.3099,544766.5,direct,0,5.737234652897303e-4,8,24,2,0,22670,1615,24,2,0,22670,1615,0.125
20180307,2018-03-07T03:52:17.989111959Z,2018-03-07T03:52:17.990267962Z,0.001156003,21,5.393218439852833e-6,42.5311,-17.7838,548989.6,direct,0,1.3113679206622408e-3,6,40,3,2,23419,1657,40,3,2,23419,1657,0.125
20180307,2018-03-07T19:03:38.106709986Z,2018-03-07T19:03:38.108518004Z,0.001808018,30,1.146939356409442e-8,6.0933,4.2110,535676.1,direct,0,1.2295153839849192e-3,10,42,4,1,14048,942,42,4,1,14048,942,0.119
20180311,2018-03-11T04:56:37.329145997Z,2018-03-11T04:56:37.330627977Z,0.001481980,31,8.61158196579441e-8,20.4953,0.1949,545431.6,direct,0,3.360436079009917e-3,5,39,1,1,17355,1178,39,1,1,17355,1178,0.103
20180312,2018-03-12T10:21:41.664061993Z,2018-03-12T10:21:41.665675967Z,0.001613974,23,3.916519913037314e-6,113.6060,-2.3555,537727.0,direct,0,6.940452331776084e-3,6,37,9,3,15861,1366,37,9,3,15861,1366,0.135
20180318,2018-03-18T09:20:54.984845966Z,2018-03-18T09:20:54.985381960Z,0.000535994,13,3.1094451014427497e-7,80.3973,6.8525,541596.1,direct,1,8.196206868289485e-5,9,19,3,1,14272,1309,19,3,1,14272,1309,0.158
20180322,2018-03-22T13:30:53.291812002Z,2018-03-22T13:30:53.293007999Z,0.001195997,13,7.026551626592077e-7,356.6189,1.5532,543376.9,direct,0,1.557249405786411e-3,11,32,2,1,14190,2330,32,2,1,14190,2330,0.125
20180323,2018-03-23T05:29:55.642277985Z,2018-03-23T05:29:55.643913984Z,0.001635999,44,1.0962364442047197e-7,127.6724,-12.3207,544359.5,direct,0,5.168993041553971e-3,6,53,6,0,17515,1335,53,6,0,17515,1335,0.170
20180325,2018-03-25T20:06:55.015316009Z,2018-03-25T20:06:55.015868008Z,0.000551999,17,3.556995114478932e-7,43.8547,-12.9911,538359.9,direct,0,1.1481052864519305e-3,1,25,6,2,21210,1951,25,6,2,21210,1951,0.280
20180329,2018-03-29T09:55:29.756953984Z,2018-03-29T09:55:29.758171975Z,0.001217991,14,9.321118972157125e-8,170.5036,-15.6047,538603.3,direct,1,1.1909468617326448e-2,23,24,7,1,10327,1190,24,7,1,10327,1190,0.125
20180402,2018-04-02T10:53:28.702043980Z,2018-04-02T10:53:28.703753978Z,0.001709998,22,1.938982398297249e-7,132.3045,-13.5596,538358.2,direct,0,1.818918859109909e-4,8,36,6,3,14092,1145,36,6,3,14092,1145,0.139
20180405,2018-04-05T18:27:53.001599997Z,2018-04-05T18:27:53.002025991Z,0.000425994,15,5.0105130059919825e-8,14.8176,2.4928,535377.0,direct,1,9.015654454552904e-4,3,21,0,0,19135,1390,21,0,0,19135,1390,0.143
20180406,2018-04-06T15:54:24.597021996Z,2018-04-06T15:54:24.598359972Z,0.001337976,18,1.564406918790058e-7,225.1536,-0.3802,546616.7,direct,1,4.875113703794771e-3,7,35,2,1,16405,1138,35,2,1,16405,1138,0.143
20180407,2018-04-07T20:32:40.111627995Z,2018-04-07T20:32:40.112654Z,0.001026005,21,4.099941715564369e-8,152.6547,-4.8487,547150.8,direct,1,8.196120973690682e-4,7,31,6,0,20092,1926,31,6,0,20092,1926,0.161
20180408,2018-04-08T02:15:07.967871963Z,2018-04-08T02:15:07.969129979Z,0.001258016,19,2.9361905332081205e-7,271.6157,25.9878,536338.9,direct,0,1.335979438570609e-2,7,37,2,1,20918,1582,37,2,1,20918,1582,0.162
20180410,2018-04-10T18:25:46.231644004Z,2018-04-10T18:25:46.233186006Z,0.001542002,44,3.5829079890534804e-8,157.6655,2.5264,544298.6,direct,0,1.1486026309318908e-3,6,55,4,0,17306,1486,55,4,0,17306,1486,0.109
20180412,2018-04-12T22:08:34.981115967Z,2018-04-12T22:08:34.982139974Z,0.001024007,16,8.71585776148735e-7,277.5941,6.4063,537586.6,direct,1,2.7083661257273992e-3,25,23,1,0,11117,1249,23,1,0,11117,1249,0.174
