start,fa,lon,lat,phase,n_core,dur_ms,pi_core_med,pi_bkg_med,pi_med_ratio,acd_core,acd_bkg,det_frac_max,rate_bkg,n_det_hit
2025-03-14T04:05:15.638756,1.095679235702115e-19,121.34760487841034,-17.151681575168322,0.638756,29,1.4550,29,34,0.853,0.0000,0.0142,0.448,2248,3
2025-03-14T05:31:57.161810,2.0977377725085864e-11,64.7672652724753,0.46449169483537783,0.161810,22,1.5130,32,31,1.048,0.0000,0.0146,0.364,2024,3
2025-03-16T11:32:04.829210,9.072693429407175e-07,106.91619038510865,-16.562375586152662,0.829210,18,1.6650,38,28,1.357,0.0000,0.0117,0.556,2086,3
2025-03-17T03:58:46.095198,1.9581746277644339e-07,-89.17444546878585,12.439866595233765,0.095199,21,1.4270,53,29,1.828,0.0000,0.0135,0.381,2546,3
2025-03-17T20:57:51.568764,2.7426201090665817e-06,-166.83962669005214,-13.532191085269114,0.568764,22,0.9810,37,39,0.962,0.0000,0.0132,0.727,2886,3
2025-03-18T05:39:33.766014,6.684990611138726e-21,-158.8997705131071,-7.360637669706687,0.766015,26,1.6790,50,29,1.741,0.0000,0.0137,0.423,2038,3
2025-03-18T10:28:34.221890,7.591014240033017e-18,120.77886385550417,-10.79828854744907,0.221890,28,1.8590,43,29,1.483,0.0000,0.0160,0.500,1942,3
2025-03-20T11:51:42.740662,7.488593380983062e-25,-79.11609748266457,2.2960775894488656,0.740662,26,0.7770,62,27,2.315,0.0000,0.0161,0.423,2303,3
2025-03-20T15:46:18.108613,2.4604052849160692e-20,14.384774022584601,-15.91925901997061,0.108614,41,1.4470,36,31,1.161,0.0000,0.0047,0.366,6691,3
2025-03-23T06:46:42.817714,3.4509844300066273e-54,121.66964668853889,-19.428997636188164,0.817714,49,0.6870,33,31,1.065,0.0000,0.0176,0.367,2187,3
2025-03-23T11:38:43.815470,1.9950996000717422e-32,50.923197769044585,-17.945245280400258,0.815470,44,1.4590,42,40,1.062,0.0000,0.0117,0.545,3034,3
2025-03-25T09:53:11.549221,6.770354090787654e-11,-82.40107943186251,0.6684886207201837,0.549221,18,1.1090,51,27,1.889,0.0000,0.0149,0.333,2184,3
2025-03-25T15:33:09.569521,3.3514568655197496e-36,12.313581944495713,0.12796811320246532,0.569522,51,1.3020,99,46,2.152,0.0000,0.0093,0.412,4088,3
2025-03-28T01:39:54.906120,4.8830852545214695e-39,-173.17751478158578,-8.691722267449897,0.906120,37,1.0600,43,31,1.387,0.0000,0.0144,0.459,2052,3
2025-03-28T13:02:57.569651,5.108492275720274e-06,26.042715251231773,-1.383800840973216,0.569651,21,0.9990,48,44,1.091,0.0000,0.0065,0.476,3626,3
2025-03-29T02:54:53.907992,3.108000466255762e-13,18.709471458298644,-11.97794617599292,0.907992,24,1.4520,38,25,1.540,0.0000,0.0081,0.458,2834,3
2025-03-30T11:53:33.380957,1.593308869307349e-26,22.25132092837846,-5.200420423009859,0.380957,34,1.5400,53,45,1.178,0.0294,0.0076,0.412,3738,3
2025-03-30T23:08:31.588524,1.386348524436446e-32,-163.0537438542447,-12.060230605399822,0.588524,31,1.1130,73,29,2.517,0.0000,0.0161,0.355,2178,3
2025-03-31T01:15:27.755353,7.307724274955802e-18,-87.78559733981288,29.040559596665727,0.755353,23,1.0620,47,32,1.469,0.0000,0.0104,0.348,2898,3
2025-03-31T12:09:17.077212,4.235240746554946e-90,13.82531295097985,-3.623775712250188,0.077212,87,1.8990,95,46,2.065,0.0000,0.0073,0.379,3922,3
