date,start,stop,count,mean,sf,false_positive_per_year,lat,lon,alt,n,n_acd,n_acd_multi,n_bg,n_acd_bg,neighbors_10min,is_train,n,n_acd,n_acd_multi,n_bg,n_acd_bg,det_share_max
20240625,2024-06-25T05:18:43.749737977Z,2024-06-25T05:18:43.751053929Z,22,1.2378970662714537,1.60171742043118e-21,4.212752909053643e-10,32.34171606843829,279.2906328400445,532659.0995958805,43,0,0,20413,1666,7,0,43,0,0,20413,1666,0.116
20240625,2024-06-25T13:05:31.410595953Z,2024-06-25T13:05:31.412425935Z,21,0.7501973575996884,7.792372602883845e-25,1.9525136410474438e-13,14.235291625730992,133.71795752120974,530955.5730427623,34,0,0,11991,771,6,0,34,0,0,11991,771,0.118
20240626,2024-06-26T17:40:08.552387952Z,2024-06-26T17:40:08.554349958Z,44,4.329437276768566,5.298859361761364e-30,2.645924785721221e-19,26.741753951789143,74.09631202755094,532230.8660863042,61,6,6,13638,993,11,0,61,6,6,13638,993,0.131
20240626,2024-06-26T19:05:32.470491945Z,2024-06-26T19:05:32.471937954Z,19,0.5843268444145391,5.075300147472611e-24,2.0023181231458945e-12,3.3349628638696673,23.432376457457543,529552.9469574929,32,2,1,14402,1113,5,0,32,2,1,14402,1113,0.219
20240627,2024-06-27T22:39:05.305325984Z,2024-06-27T22:39:05.308099985Z,73,8.666589441524954,1.4811471232161766e-42,4.7025148530377903e-32,17.904036888723375,118.85429251492502,518650.277212894,127,8,2,17504,905,2,0,127,8,2,17504,905,0.110
20240628,2024-06-28T01:09:43.529829978Z,2024-06-28T01:09:43.531613945Z,21,0.7403286949280181,5.878178139835836e-25,1.7494061876384342e-13,3.1360409467697146,284.00059568479776,528744.9314853192,43,5,4,13952,1095,5,0,43,5,4,13952,1095,0.116
20240629,2024-06-29T12:00:45.453401982Z,2024-06-29T12:00:45.455419957Z,43,3.929359586028286,1.1446030032534645e-30,6.185022858027483e-20,8.065634491778614,117.11601717647792,528294.3129027128,58,1,0,13242,775,4,0,58,1,0,13242,775,0.138
20240701,2024-07-01T05:03:15.777203917Z,2024-07-01T05:03:15.779005944Z,33,0.8037478557379766,9.224209377180296e-43,2.204851197152189e-31,-8.535651709233523,192.4382137447584,525289.5322669148,49,8,2,12125,908,10,0,49,8,2,12125,908,0.143
20240701,2024-07-01T10:34:59.476511955Z,2024-07-01T10:34:59.478347957Z,25,0.5086435163031345,3.535778908514983e-35,1.430109584668941e-23,10.252643226624729,286.0977894967652,519681.02511100774,44,7,3,12828,1804,12,0,44,7,3,12828,1804,0.114
20240702,2024-07-02T10:17:59.191615998Z,2024-07-02T10:17:59.193181991Z,27,1.2822647163866532,1.0045314263552983e-27,1.704094294476304e-16,13.713276976609231,279.9437136428881,521605.5994915009,42,7,2,13587,2010,12,0,42,7,2,13587,2010,0.095
20240702,2024-07-02T10:19:21.255213975Z,2024-07-02T10:19:21.257273972Z,67,6.403458658820849,5.0464158800263536e-45,1.5956869232149003e-34,10.248689412446023,283.56033328637125,520673.7291589737,89,12,5,12899,1699,8,0,89,12,5,12899,1699,0.112
20240702,2024-07-02T22:17:13.689629971Z,2024-07-02T22:17:13.691633939Z,93,3.169346908903152,4.932692626865527e-101,3.7059848998300947e-90,4.621970391036273,296.89494883987425,524542.7668477058,109,6,2,14777,1084,3,0,109,6,2,14777,1084,0.110
20240703,2024-07-03T22:42:08.014864027Z,2024-07-03T22:42:08.016637980Z,99,2.798700787335205,3.3295360371363005e-115,1.9173574418584417e-104,13.338595413780213,84.44938409647823,523156.7259126544,110,26,8,10184,1372,20,0,110,26,8,10184,1372,0.091
20240704,2024-07-04T21:47:23.341305971Z,2024-07-04T21:47:23.343057990Z,36,4.710266761488223,5.964274012982461e-21,2.9045041882635016e-10,8.452874930629731,295.61620984032635,523342.51629982,46,8,0,14479,2576,7,0,46,8,0,14479,2576,0.152
20240705,2024-07-05T08:45:47.451963961Z,2024-07-05T08:45:47.453187942Z,28,0.8217096249579456,1.7198097737937961e-34,3.392514903917161e-23,-7.834287314521075,110.48631460372091,520708.682153827,35,5,2,10154,1731,18,0,35,5,2,10154,1731,0.114
20240705,2024-07-05T22:12:03.108254492Z,2024-07-05T22:12:03.110178530Z,24,0.6994485787724141,4.328262395212143e-30,1.0024465335351529e-18,10.132433038954735,82.71928120172501,524237.23843832023,37,6,0,10093,1212,15,0,37,6,0,10093,1212,0.135
20240706,2024-07-06T22:56:01.867477893Z,2024-07-06T22:56:01.869309902Z,49,6.021855999514493,8.762038291847712e-29,3.726742877965621e-18,21.018362673511508,280.1632342401218,525085.5291749001,61,9,0,16240,2516,1,0,61,9,0,16240,2516,0.098
20240707,2024-07-07T08:22:25.804255902Z,2024-07-07T08:22:25.806037902Z,27,0.9439004701180848,2.619488342133473e-31,5.585520028687976e-20,12.866424027824403,125.91459007312775,521929.8519584656,40,5,2,12664,1377,7,0,40,5,2,12664,1377,0.175
20240707,2024-07-07T08:23:01.398841977Z,2024-07-07T08:23:01.400563955Z,22,0.8248285734308747,2.0932375307321465e-25,5.159505726613025e-14,14.356600390827657,127.50441880248309,522356.6070907116,37,10,5,12826,1397,7,0,37,10,5,12826,1397,0.108
20240708,2024-07-08T01:57:27.822773933Z,2024-07-08T01:57:27.834645926Z,67,16.538907864706367,2.509907694062608e-21,7.93637896897085e-11,35.90815237684012,253.80125782514096,530476.978839326,562,100,35,29389,5752,25,0,562,100,35,29389,5752,0.073
20240708,2024-07-08T07:04:57.968037903Z,2024-07-08T07:04:57.969309926Z,22,0.7386136465495172,1.7942646000057417e-26,6.431760386232815e-15,23.35912373799324,277.6052306919766,529528.2734411716,29,2,0,16507,2170,9,0,29,2,0,16507,2170,0.172
20240708,2024-07-08T08:43:08.374861955Z,2024-07-08T08:43:08.376161992Z,54,5.948234269611914,8.975103780226836e-34,3.6784771437425303e-23,15.636176053763034,262.6709374883324,527492.1601046622,60,8,3,15177,1379,10,0,60,8,3,15177,1379,0.100
20240708,2024-07-08T21:30:42.917904078Z,2024-07-08T21:30:42.919732093Z,25,1.039589284265024,2.502229885636654e-27,4.756920248087035e-16,-4.79399114372015,89.78529413519384,524645.578843832,37,6,3,12567,1477,6,0,37,6,3,12567,1477,0.108
20240708,2024-07-08T22:21:29.592345952Z,2024-07-08T22:21:29.594279944Z,48,1.5766345941501716,1.7135586850336732e-54,2.503425412723524e-43,13.365103443479539,266.400497521925,520488.58718366624,60,2,2,14531,1214,10,0,60,2,2,14531,1214,0.100
20240710,2024-07-10T06:34:49.232981979Z,2024-07-10T06:34:49.234899997Z,36,1.904010754363602,2.5376006992571786e-34,3.3647115436476544e-23,20.300358896859887,276.4223398275864,529719.6953313113,49,7,3,15881,2050,10,0,49,7,3,15881,2050,0.102
20240712,2024-07-12T06:00:25.956965923Z,2024-07-12T06:00:25.958219885Z,24,0.8407355478003959,3.758117106487819e-28,1.2895204860035962e-16,26.906970036766534,262.6041349801207,531518.0095140458,36,3,2,18159,2177,19,0,36,3,2,18159,2177,0.111
20240712,2024-07-12T07:02:58.017956018Z,2024-07-12T07:02:58.018902003Z,21,1.152918544413648,6.766770343030064e-21,1.4233840164565123e-09,10.76857649785638,111.1339981350577,516194.30194721225,28,0,0,15062,849,10,0,28,0,0,15062,849,0.286
20240713,2024-07-13T05:53:54.513305962Z,2024-07-13T05:53:54.514965951Z,31,2.459502316874665,1.1280992154689145e-24,9.319248418005116e-14,4.3424880095767975,285.84779416827797,528701.4108587146,39,5,2,12649,1285,7,0,39,5,2,12649,1285,0.103
20240713,2024-07-13T21:10:27.873617947Z,2024-07-13T21:10:27.875153958Z,22,1.384273429020261,1.8203831340884797e-20,4.103020145687178e-09,31.11049528286219,277.2346480108166,522108.277958107,44,4,2,19670,1974,17,0,44,4,2,19670,1974,0.114
20240714,2024-07-14T05:36:21.831047952Z,2024-07-14T05:36:21.832991898Z,48,3.9620819938343512,6.748790743189145e-36,3.5493575982602753e-25,8.865543010258676,278.8622230210829,529411.4734169961,61,9,0,12923,1647,14,0,61,9,0,12923,1647,0.115
20240714,2024-07-14T15:01:54.975672841Z,2024-07-14T15:01:54.977346837Z,29,3.044468135116383,6.371216901404049e-20,5.745583929805628e-09,19.165438984646798,122.73888518763066,530594.4255912304,41,1,0,17085,908,3,0,41,1,0,17085,908,0.195
20240715,2024-07-15T03:40:59.655721962Z,2024-07-15T03:40:59.657559931Z,23,0.8460286810323091,1.2943206746528974e-26,3.5214612634801443e-15,20.336038651275636,288.003906131568,530489.8489901901,36,4,3,14334,1756,13,0,36,4,3,14334,1756,0.139
